"created_at","updated_at","name","display_name","about"
'2022-11-04 10:36:19.983','2022-11-04 10:36:19.983',"mechanical engineering technicians","","mechanical engineering technicians help mechanical engineers design, develop, test, and manufacture mechanical devices, including tools, engines, and machines"
'2022-11-04 10:36:19.983','2022-11-04 10:36:19.983',"mechanical engineers","","mechanical engineers research, design, develop, build and test mechanical and thermal sensors and devices, including tools, engines, and machines"
'2022-11-04 10:36:19.983','2022-11-04 10:36:19.983',"mining and geological engineers","","design open pit and underground mines. supervise the construction of mine shafts and tunnels. devise methods for transporting minerals to processing plants."
'2022-11-04 10:36:19.983','2022-11-04 10:36:19.983',"nuclear engineers","","nuclear engineers research and develop the processes, instruments, and systems used to derive benefits from nuclear engineer and radiation"
'2022-11-04 10:36:19.983','2022-11-04 10:36:19.983',"petroleum engineers","","petroleum engineers d3esign and develop methods for extracting oil and gas from deposits below the earths surface. also find new ways to extract oil and gas from older wells"
'2022-11-04 10:36:20.022','2022-11-04 10:36:20.022',"enterprise risk actuaries","",""
'2022-11-04 10:36:20.022','2022-11-04 10:36:20.022',"environmental chemists","",""
'2022-11-04 10:36:19.983','2022-11-04 10:36:19.983',"surveying and mapping technicians","","visit sites to record survey measurements and other descriptive data. operate surveying instruments. select needed information from databases to create maps. edit and process images that have been collected in the field"
'2022-11-04 10:36:19.983','2022-11-04 10:36:19.983',"surveyors","","measure distances and angles between points on, above, and below the earths surface. travel to locations and use known reference points to determine the exact location of important features"
'2022-11-04 10:36:19.983','2022-11-04 10:36:19.983',"art directors","","art directors are responsible for the visual style and images in magazines, newspapers, product packaging, and movie and television productions. they crate the overall design and direct others who develop artwork or layouts"
'2022-11-04 10:36:20.022','2022-11-04 10:36:20.022',"crop farmers","",""
'2022-11-04 10:36:20.022','2022-11-04 10:36:20.022',"crop laborers","",""
'2022-11-04 10:36:20.022','2022-11-04 10:36:20.022',"crop managers","",""
'2022-11-04 10:36:20.022','2022-11-04 10:36:20.022',"curators","",""
'2022-11-04 10:36:20.022','2022-11-04 10:36:20.022',"cutters","",""
'2022-11-04 10:36:19.983','2022-11-04 10:36:19.983',"craft and fine artists","","craft and fine artists use a variety of materials and techniques to create art for sale and exhibition."
'2022-11-04 10:36:19.983','2022-11-04 10:36:19.983',"fashion designers","","fashion designers create original clothing, accessories, and footwear. they sketch designs, select fabrics and patterns, and give instructions on how to make the products they design"
'2022-11-04 10:36:20.022','2022-11-04 10:36:20.022',"mental health counselors","",""
'2022-11-04 10:36:20.022','2022-11-04 10:36:20.022',"microbiology technologists","",""
'2022-11-04 10:36:20.022','2022-11-04 10:36:20.022',"middle school counselors","",""
'2022-11-04 10:36:20.022','2022-11-04 10:36:20.022',"migrant farmworkers","",""
'2022-11-04 10:36:20.022','2022-11-04 10:36:20.022',"millwrights","",""
'2022-11-04 10:36:19.983','2022-11-04 10:36:19.983',"floral designers","","floral designers cut and arrange live, dried, and silk flowers and greenery to make decorative displays. they also help customers select flowers, containers, ribbons, and other accessories"
'2022-11-04 10:36:19.983','2022-11-04 10:36:19.983',"graphic designers","","graphic designers create visual concepts, using computer software or by hand to communicate ideas that inspire inform and captivate consumers"
'2022-11-04 10:36:19.983','2022-11-04 10:36:19.983',"industrial designers","","industrial designers develop the concepts for manufactured products, such as cars, home appliances and toys"
'2022-11-04 10:36:19.983','2022-11-04 10:36:19.983',"interior designers","","interior designers make interior spaces functional, safe and beautiful by determining space requirements and selecting decorative items"
'2022-11-04 10:36:19.983','2022-11-04 10:36:19.983',"multimedia artists and animators","","multimedia artists and animators create two and three dimensional models, animation and visual effects for television, movies, video games, and other forms of media"
'2022-11-04 10:36:19.983','2022-11-04 10:36:19.983',"grounds maintenance workers","","grounds maintenance workers ensure that the grounds of houses, businesses, parks and urban infrastructure are attractive orderly and healthy in order to provide a pleasant outdoor environment"
'2022-11-04 10:36:19.983','2022-11-04 10:36:19.983',"janitors and building cleaners","","janitors and building cleaners keep many times of buildings clean, orderly, and in good condition"
'2022-11-04 10:36:19.983','2022-11-04 10:36:19.983',"pest control workers","","pest control workers remove unwanted pests, such as roaches, rats, ants, bedbugs, mosquitoes, ticks, and termites that infest buildings and surrounding areas"
'2022-11-04 10:36:19.983','2022-11-04 10:36:19.983',"accountants and auditors","","accountants and auditors prepare and examine financial records. they ensure that financial records are accurate and that taxes are paid properly and on time"
'2022-11-04 10:36:20.022','2022-11-04 10:36:20.022',"cleaners of vehicles and equipment","",""
'2022-11-04 10:36:20.022','2022-11-04 10:36:20.022',"clerks","",""
'2022-11-04 10:36:20.022','2022-11-04 10:36:20.022',"climate change analysts","",""
'2022-11-04 10:36:20.022','2022-11-04 10:36:20.022',"climate scientists","",""
'2022-11-04 10:36:20.022','2022-11-04 10:36:20.022',"climatologists","",""
'2022-11-04 10:36:20.022','2022-11-04 10:36:20.022',"environmental health and saafety specialists","",""
'2022-11-04 10:36:20.022','2022-11-04 10:36:20.022',"environmental lawyers","",""
'2022-11-04 10:36:19.983','2022-11-04 10:36:19.983',"appraisers and assessors of real estate","","appraisers and assessors of real estate provide a value estimate on land and buildings usually before they are sold, mortgaged, taxed, insured or developed"
'2022-11-04 10:36:19.983','2022-11-04 10:36:19.983',"budget analysts","","budget analysts help public and private institutions organize their finances. they prepare budget reports and monitor institutional spending"
'2022-11-04 10:36:19.983','2022-11-04 10:36:19.983',"claims adjusters, appraisers examiners, and investigators","","claims adjusters appraisers, examiners and investigators evaluate insurance claims. they decide whether an insurance company must pay a claim and if so how much"
'2022-11-04 10:36:19.983','2022-11-04 10:36:19.983',"compensation, benefits and job analysis specialists","","compensation, benefits and job analysis specialists conduct an organizations compensation and benefits programs. they also evaluate position descriptions to determine details such as classification and salary"
'2022-11-04 10:36:19.983','2022-11-04 10:36:19.983',"cost estimators","","cost estimators collect and analyze data in order to estimate the time, money, materials and labor required to manufacture a product, construct a building or provide a service"
'2022-11-04 10:36:20.022','2022-11-04 10:36:20.022',"cytotechnologists","",""
'2022-11-04 10:36:20.022','2022-11-04 10:36:20.022',"dairy managers","",""
'2022-11-04 10:36:20.022','2022-11-04 10:36:20.022',"decorating workers","",""
'2022-11-04 10:36:20.022','2022-11-04 10:36:20.022',"defense attorneys","",""
'2022-11-04 10:36:19.983','2022-11-04 10:36:19.983',"financial analysts","","financial analysts provide guidance to businesses and individuals making investment decisions. they assess the performance of stocks, bonds and other types of investments"
'2022-11-04 10:36:19.983','2022-11-04 10:36:19.983',"financial examiners","","financial examiners ensure compliance with laws governing financial institutions and transactions. they review balance sheets, evaluate the risk level of loans and assess bank management"
'2022-11-04 10:36:20.022','2022-11-04 10:36:20.022',"fallers","",""
'2022-11-04 10:36:20.022','2022-11-04 10:36:20.022',"family and general physicians","",""
'2022-11-04 10:36:20.022','2022-11-04 10:36:20.022',"investment banking sales agents and traders","",""
'2022-11-04 10:36:20.022','2022-11-04 10:36:20.022',"mobile heavy equipment mechanics","",""
'2022-11-04 10:36:20.022','2022-11-04 10:36:20.022',"model makers","",""
'2022-11-04 10:36:20.022','2022-11-04 10:36:20.022',"molecular biology technologists","",""
'2022-11-04 10:36:20.022','2022-11-04 10:36:20.022',"molecular physicists","",""
'2022-11-04 10:36:20.022','2022-11-04 10:36:20.022',"mortgage loan officers","",""
'2022-11-04 10:36:19.983','2022-11-04 10:36:19.983',"fundraisers","","fundraisers organize even ts and campaigns to raise money and other kinds of donations for an organization. they also may design promotional materials and increase awareness of an organizations work, goals, and financial needs"
'2022-11-04 10:36:19.983','2022-11-04 10:36:19.983',"human resources specialists","","human resources specialists recruit, screen interview, and place workers. they often handle tasks related to employee relations, compensation and benefits, and training"
'2022-11-04 10:36:19.983','2022-11-04 10:36:19.983',"insurance underwriters","","insurance underwriters decide whether to provide insurance, and under what terms. they evaluate insurance applications and determine coverage amounts and premiums"
'2022-11-04 10:36:19.983','2022-11-04 10:36:19.983',"labor relations specialists","","labor relations specialists interpret and administer labor contracts regarding issues such as wages and salaries, healthcare, pensions, and union and management practices"
'2022-11-04 10:36:19.983','2022-11-04 10:36:19.983',"loan officers","","loan officers evaluate, authorize, or recommend approval of loan applications for people and business"
'2022-11-04 10:36:19.983','2022-11-04 10:36:19.983',"logisticians","","logisticians analyze and coordinate an organizations supply chain – the system that moves a product from supplier to consumer. they manage the entire life cycle of a product, which includes how a product is acquired, allocated, and delivered"
'2022-11-04 10:36:20.022','2022-11-04 10:36:20.022',"clinical chemistry technologists","",""
'2022-11-04 10:36:20.022','2022-11-04 10:36:20.022',"clinical dietitions","",""
'2022-11-04 10:36:20.022','2022-11-04 10:36:20.022',"clinical managers","",""
'2022-11-04 10:36:20.022','2022-11-04 10:36:20.022',"clinical medical assitants","",""
'2022-11-04 10:36:20.022','2022-11-04 10:36:20.022',"clinical microbiologists","",""
'2022-11-04 10:36:20.022','2022-11-04 10:36:20.022',"environmental microbiologists","",""
'2022-11-04 10:36:20.022','2022-11-04 10:36:20.022',"environmental restoration planners","",""
'2022-11-04 10:36:20.022','2022-11-04 10:36:20.022',"escort interpreters","",""
'2022-11-04 10:36:20.022','2022-11-04 10:36:20.022',"event planners","",""
'2022-11-04 10:36:19.983','2022-11-04 10:36:19.983',"management analysts","","management analysts, often called management consultants, propose ways to improve an organizations efficiency. they advise managers on how to make organizations more profitable through reduced cotss and increase revenues"
'2022-11-04 10:36:19.983','2022-11-04 10:36:19.983',"market research analysts","","market research analysts study market conditions to examine potential sales of a product or service. they help companies understand what products people want, who will buy them, and at what price"
'2022-11-04 10:36:19.983','2022-11-04 10:36:19.983',"meeting, convention and event planner","","meeting, convention, and event planners coordinate all aspects of events and professional meetings. they arrange meeting locations transportation and other details"
'2022-11-04 10:36:19.983','2022-11-04 10:36:19.983',"personal financial advisors","","personal financial advisors provide advice on investments, insurance, mortgages, college savings, estate planning, taxes and retirement to help individuals manage their finances"
'2022-11-04 10:36:19.983','2022-11-04 10:36:19.983',"purchasing managers, buyers, and purchasing agents","","buys and purchasing agents buy products and services for organizations to use or resell. they evaluate suppliers, negotiate contracts, and review the quality of products."
'2022-11-04 10:36:19.983','2022-11-04 10:36:19.983',"computer support specialists","","computer support specialists provide help and advice to computer users and organizations"
'2022-11-04 10:36:20.022','2022-11-04 10:36:20.022',"dental laboratory technicians","",""
'2022-11-04 10:36:20.022','2022-11-04 10:36:20.022',"dental public health specialists","",""
'2022-11-04 10:36:19.983','2022-11-04 10:36:19.983',"tax examiners and collectors and revenue agents","","tax examiners and collects and revenue agents determine how much is owed in taxes and collect tax from individuals and businesses on behalf of federal state and local governments"
'2022-11-04 10:36:19.983','2022-11-04 10:36:19.983',"training and development specialists","","training and development specialists help plan, conduct and administer programs that train employees and improve their skills knowledge"
'2022-11-04 10:36:20.022','2022-11-04 10:36:20.022',"concrete finishers","",""
'2022-11-04 10:36:20.022','2022-11-04 10:36:20.022',"it directors","",""
'2022-11-04 10:36:20.022','2022-11-04 10:36:20.022',"it security managers","",""
'2022-11-04 10:36:19.983','2022-11-04 10:36:19.983',"health educators and community health workers","","health educators teach people about behaviors that promote wellness. they develop and implement strategies to improve the health of individuals and communities"
'2022-11-04 10:36:19.983','2022-11-04 10:36:19.983',"marriage and family therapists","","marriage and family therapists help people manage problems with their family and other relationships"
'2022-11-04 10:36:19.983','2022-11-04 10:36:19.983',"probation officers and correctional treatment specialists","","probation officers and correctional treatment specialists provide social services to assist in rehabilitation of law offenders in custody or on probation or parole"
'2022-11-04 10:36:19.983','2022-11-04 10:36:19.983',"rehabilitation counselors","","rehabilitation counselors help people with physical, mental, developmental, or emotional disabilities live independently"
'2022-11-04 10:36:19.983','2022-11-04 10:36:19.983',"school and career counselors","","school counselors help students develop the academic and social skills that lead to success in school."
'2022-11-04 10:36:20.022','2022-11-04 10:36:20.022',"clinical nurse specialists","",""
'2022-11-04 10:36:20.022','2022-11-04 10:36:20.022',"clinical nutritionists","",""
'2022-11-04 10:36:20.022','2022-11-04 10:36:20.022',"clinical pharmacists","",""
'2022-11-04 10:36:20.022','2022-11-04 10:36:20.022',"clinical psychologists","",""
'2022-11-04 10:36:19.983','2022-11-04 10:36:19.983',"web developers","","web developers design and create websites. they are responsible for the look of the site. they are also responsible for the sites technical aspects, such as performance and capacity."
'2022-11-04 10:36:19.983','2022-11-04 10:36:19.983',"social and human service assistants","","social and human service assistants provide client services, including support for families in a wide variety of fields such as psychology, rehabilitation and social work"
'2022-11-04 10:36:19.983','2022-11-04 10:36:19.983',"social workers","","social workers help people solve and cope with problems in their every day lives. also diagnose and treat mental, behavioral and emotional issues"
'2022-11-04 10:36:19.983','2022-11-04 10:36:19.983',"substance abuse, behavioral disorder and mental health counselors","","substance abuse, behavioral disorder, and mental health counselors advise people who suffer from alcoholism, drug addiction, eating disorders, mental health issues or other mental or behavioral problems"
'2022-11-04 10:36:19.983','2022-11-04 10:36:19.983',"computer and information research scientists","","computer and information research scientists invent and design new approaches to computing technology and find innovative uses for existing technology"
'2022-11-04 10:36:19.983','2022-11-04 10:36:19.983',"computer network architects","","computer network architects design and build data communication networks including local area networks, wide area networks and intranets"
'2022-11-04 10:36:19.983','2022-11-04 10:36:19.983',"computer programmers","","computer programmers write and test code that allows computer applications and software programs to function properly"
'2022-11-04 10:36:19.983','2022-11-04 10:36:19.983',"glaziers","","glaziers install glass in windows, skylights and other fixtures in storefronts and buildings"
'2022-11-04 10:36:20.022','2022-11-04 10:36:20.022',"grooms","",""
'2022-11-04 10:36:19.983','2022-11-04 10:36:19.983',"computer systems analysts","","computer systems analysts, sometimes called systems architects, study an organizations current computer systems and procedures and design solutions to help the organization operate more efficiently and effectively"
'2022-11-04 10:36:19.983','2022-11-04 10:36:19.983',"database administrators","","database administrators use specialized software to store and organize data such as financial information and customer shipping records."
'2022-11-04 10:36:20.022','2022-11-04 10:36:20.022',"jewelry appraisers","",""
'2022-11-04 10:36:20.022','2022-11-04 10:36:20.022',"jewelry designers","",""
'2022-11-04 10:36:20.022','2022-11-04 10:36:20.022',"judges","",""
'2022-11-04 10:36:20.022','2022-11-04 10:36:20.022',"kennel attendants","",""
'2022-11-04 10:36:20.022','2022-11-04 10:36:20.022',"labor relations directors","",""
'2022-11-04 10:36:20.022','2022-11-04 10:36:20.022',"laboratory managers","",""
'2022-11-04 10:36:19.983','2022-11-04 10:36:19.983',"information security analysts","","information security analysts plan and carry out security measures to protect an organizations computer networks and systems"
'2022-11-04 10:36:19.983','2022-11-04 10:36:19.983',"painters, construction and maintenance","","painters apply paint, stain and coatings to walls and ceilings, buildings, bridges and other structures"
'2022-11-04 10:36:19.983','2022-11-04 10:36:19.983',"network and computer systems administrators","","computer networks are critical parts of almost every organization. network and computer systems administrators are responsible for the day to day operation of these networks"
'2022-11-04 10:36:19.983','2022-11-04 10:36:19.983',"software developers","","software developers are creative minds behind computer programs"
'2022-11-04 10:36:20.022','2022-11-04 10:36:20.022',"clinicl social workers","",""
'2022-11-04 10:36:20.022','2022-11-04 10:36:20.022',"coating inspectors","",""
'2022-11-04 10:36:20.022','2022-11-04 10:36:20.022',"coating tenders","",""
'2022-11-04 10:36:20.022','2022-11-04 10:36:20.022',"coating workers","",""
'2022-11-04 10:36:20.022','2022-11-04 10:36:20.022',"coil finishers","",""
'2022-11-04 10:36:20.022','2022-11-04 10:36:20.022',"coil tapers","",""
'2022-11-04 10:36:20.022','2022-11-04 10:36:20.022',"executive administrative assistants","",""
'2022-11-04 10:36:20.022','2022-11-04 10:36:20.022',"executive chefs","",""
'2022-11-04 10:36:20.022','2022-11-04 10:36:20.022',"executive secretaries","",""
'2022-11-04 10:36:20.022','2022-11-04 10:36:20.022',"expediting clerks","",""
'2022-11-04 10:36:20.022','2022-11-04 10:36:20.022',"experimental physicists","",""
'2022-11-04 10:36:20.022','2022-11-04 10:36:20.022',"extragalactic astronomers","",""
'2022-11-04 10:36:19.983','2022-11-04 10:36:19.983',"boilermakers","","boilermakers assemble, install, maintain, and repair boilers, closed vats, and other large vessels or containers that hold liquids and gases"
'2022-11-04 10:36:19.983','2022-11-04 10:36:19.983',"carpenters","","carpenters construct, repair and install building frameworks and structures made from wood and other materials"
'2022-11-04 10:36:19.983','2022-11-04 10:36:19.983',"construction and building inspectors","","construction and building inspectors ensure that construction meets local and national building codes and ordinances, zoning regulations, and contract specifications"
'2022-11-04 10:36:19.983','2022-11-04 10:36:19.983',"construction equipment operators","","construction equipment operators drive, maneuver, or control the heavy machinery used to construct roads, bridges, buildings and other structures"
'2022-11-04 10:36:19.983','2022-11-04 10:36:19.983',"construction laborers and helpers","","construction laborers and helpers perform many tasks that require physical labor on construction sites"
'2022-11-04 10:36:19.983','2022-11-04 10:36:19.983',"drywall and ceiling tile installers and tapers","","drywall and ceiling tile installers hang wallboard and install ceiling tile inside buildings. tapers prepare the wallboard for painting, using tape and other materials"
'2022-11-04 10:36:19.983','2022-11-04 10:36:19.983',"electricians","","electricians install, maintain and repair electrical power, communications, lighting and control systems in homes, businesses and factories"
'2022-11-04 10:36:19.983','2022-11-04 10:36:19.983',"elevator installers and repairers","","elevator installers and repairers install, fix and maintain elevators, escalators, moving walkways and other lifts"
'2022-11-04 10:36:19.983','2022-11-04 10:36:19.983',"flooring installers and tile and marble setters","","flooring installers and tile and marble setters lay and finish carpet, wood, vinyl and tile"
'2022-11-04 10:36:20.022','2022-11-04 10:36:20.022',"designated airworthiness representatives","",""
'2022-11-04 10:36:20.022','2022-11-04 10:36:20.022',"developmental psychologists","",""
'2022-11-04 10:36:20.022','2022-11-04 10:36:20.022',"front end technicians","",""
'2022-11-04 10:36:19.983','2022-11-04 10:36:19.983',"hazardous materials remove workers","","hazardous materials remove workers identify and dispose of asbestos, lead, radioactive waste, and other hazardous materials. they also neutralize and clean up materials that are flammable, corrosive or toxic"
'2022-11-04 10:36:19.983','2022-11-04 10:36:19.983',"insulation workers","","insulation workers, also called insulators install and replace the materials used to insulate buildings and their mechanical systems"
'2022-11-04 10:36:20.022','2022-11-04 10:36:20.022',"coil winders","",""
'2022-11-04 10:36:20.022','2022-11-04 10:36:20.022',"collectors","",""
'2022-11-04 10:36:20.022','2022-11-04 10:36:20.022',"college presidents","",""
'2022-11-04 10:36:20.022','2022-11-04 10:36:20.022',"law librarians","",""
'2022-11-04 10:36:20.022','2022-11-04 10:36:20.022',"legal interpreters","",""
'2022-11-04 10:36:20.022','2022-11-04 10:36:20.022',"legal secretaries","",""
'2022-11-04 10:36:20.022','2022-11-04 10:36:20.022',"leisure travel agents","",""
'2022-11-04 10:36:20.022','2022-11-04 10:36:20.022',"liaison interpreters","",""
'2022-11-04 10:36:19.983','2022-11-04 10:36:19.983',"ironworkers","","ironworkers install structural reinforcing iron and steel to form and support buildings, bridges and roads"
'2022-11-04 10:36:19.983','2022-11-04 10:36:19.983',"masonry workers","","masonry workers, also known as masons, use bricks, concrete blocks, concrete, and national and manmade stones to build walls, walkways, fences and other masonry structures"
'2022-11-04 10:36:20.022','2022-11-04 10:36:20.022',"forensic chemists","",""
'2022-11-04 10:36:20.022','2022-11-04 10:36:20.022',"community pharmacists","",""
'2022-11-04 10:36:20.022','2022-11-04 10:36:20.022',"morticians","",""
'2022-11-04 10:36:19.983','2022-11-04 10:36:19.983',"plumbers, pipefitters, steamfitters","","plumbers, pipefitters and steamfitters install and repair pipes that carry liquids or gases to, from and within businesses, homes and factories"
'2022-11-04 10:36:19.983','2022-11-04 10:36:19.983',"roofers","","roofers replace, repair and install the roofs of buildings, using a variety of materials, including shingles, bitumen and metal"
'2022-11-04 10:36:19.983','2022-11-04 10:36:19.983',"sheet metal workers","","sheet metal workers fabricate or install products that are made from thin metal sheets, such as ducts used in heating and air conditioning systems"
'2022-11-04 10:36:19.983','2022-11-04 10:36:19.983',"solar photovoltaic installers","","solar photovoltaic installers, also known as pv installers assemble, install and maintain solar panel systems on rooftops or other structures"
'2022-11-04 10:36:19.983','2022-11-04 10:36:19.983',"adult literacy and high school equivalency diploma teachers","","adult literacy and high school equivalency diploma teachers instruct adults in basic skills, such as reading, writing and speaking english they also help students earn their high school equivalent diploma"
'2022-11-04 10:36:19.983','2022-11-04 10:36:19.983',"archivists, curators and museum workers","","archivists appraise, process, catalog, and preserve permanent records and historically valuable documents. curators oversee collections of artwork and historic items and may conduct public service activities for an institution"
'2022-11-04 10:36:19.983','2022-11-04 10:36:19.983',"career and technical education teachers","","career and technical education teachers instruct students in various technical and vocational subjects such as auto repair, healthcare and culinary arts. they teach academic and technical content to provide students with the skills and knowledge necessary to enter an occupation"
'2022-11-04 10:36:19.983','2022-11-04 10:36:19.983',"high school teachers","","high school teachers help prepare students for life after graduation. they teach academic lessons and various skills students will need to attend college or enter the job market"
'2022-11-04 10:36:20.022','2022-11-04 10:36:20.022',"combat specialty personnel","",""
'2022-11-04 10:36:20.022','2022-11-04 10:36:20.022',"combined food preparation workers","",""
'2022-11-04 10:36:20.022','2022-11-04 10:36:20.022',"commercial and industrial electrical and electronics equipment repairers","",""
'2022-11-04 10:36:20.022','2022-11-04 10:36:20.022',"front office managers","",""
'2022-11-04 10:36:20.022','2022-11-04 10:36:20.022',"frontend web developers","",""
'2022-11-04 10:36:20.022','2022-11-04 10:36:20.022',"fund managers","",""
'2022-11-04 10:36:20.022','2022-11-04 10:36:20.022',"fundraising managers","",""
'2022-11-04 10:36:19.983','2022-11-04 10:36:19.983',"instructional coordinators","","instructional coordinators oversee school curriculums and teaching standards. they develop instructional material, coordinate its implementation with teachers and principals, and assess its effectiveness"
'2022-11-04 10:36:19.983','2022-11-04 10:36:19.983',"kindergarten and elementary school teachers","","kindergarten and elementary school teachers instruct young students in basic subjects such as math and reading, in order to prepare them for future schooling"
'2022-11-04 10:36:20.022','2022-11-04 10:36:20.022',"extruding and drawing machine setters","",""
'2022-11-04 10:36:20.022','2022-11-04 10:36:20.022',"fabrication sheet metal workers","",""
'2022-11-04 10:36:20.022','2022-11-04 10:36:20.022',"facility managers","",""
'2022-11-04 10:36:19.983','2022-11-04 10:36:19.983',"librarians","","librarians help people find information and conduct research for personal and professional use. their job duties may change based on the type of library they work in such as public, academic and medical libraries"
'2022-11-04 10:36:19.983','2022-11-04 10:36:19.983',"library technicians and assistants","","library technicians and assistants help librarians with all aspects of running a library. they assist patrons, organize library materials and information and perform clerical and administrative tasks"
'2022-11-04 10:36:19.983','2022-11-04 10:36:19.983',"middle school teachers","","middle school teachers educate students typically in sixth through eighth grade. middle school teachers help students build on the fundamentals taught in elementary school and prepare students for the more difficult curriculum they will face in high school"
'2022-11-04 10:36:20.022','2022-11-04 10:36:20.022',"motel clerks","",""
'2022-11-04 10:36:19.983','2022-11-04 10:36:19.983',"postsecondary teachers","","postsecondary teachers instruct students in a wide variety of academic and career and technical subjects beyond the high school level. they may also conduct research and publish scholarly papers and books"
'2022-11-04 10:36:19.983','2022-11-04 10:36:19.983',"preschool teachers","","preschool teachers educate and care for children younger than age 5 who have not yet entered kindergarten. they teach language, motor and social skills to young children"
