"created_at","action_name","path_name"
'2022-11-06 00:16:49.031',"landscape architects design parts and the outdoor spaces of campuses recreational facilities businesses private homes and other open spaces","landscape architects"
'2022-11-06 00:16:49.031',"marine engineers and naval architects design build and maintain ships","marine engineers and naval architects"
'2022-11-06 00:16:49.031',"plan and evaluate new proejcts consulting with other engineers and managers as necessary","materials engineers"
'2022-11-06 00:16:49.031',"prepare proposals and budgets analyze labor costs write reports and perform other managerial tasks","materials engineers"
'2022-11-06 00:16:49.031',"evaluate design drawings for new or changed tools by measuring dimensions on the drawings and comparing them with the original specifications","mechanical engineering technicians"
'2022-11-06 00:16:49.031',"prepare layouts and drawings of parts to be made and of the process for putting the parts together","mechanical engineering technicians"
'2022-11-06 00:16:49.031',"analyze problems to see how mechanical and thermal devices might help solve a particular problem","mechanical engineers"
'2022-11-06 00:16:49.031',"design or redesign mechanical and thermal devices or subsystems using analysis and computer aided design","mechanical engineers"
'2022-11-06 00:16:49.031',"investigate equipment failures or difficulties to diagnose faulty operation and to recommend remedies","mechanical engineers"
'2022-11-06 00:16:49.031',"mining and geological engineers design mines to safely and efficiently remove minerals such as coal and metals for use in manufacturing and utilities","mining and geological engineers"
'2022-11-06 00:16:49.031',"design or develop nuclear equipment such as reactor cores radiation shielding and associated instrumentation","nuclear engineers"
'2022-11-06 00:16:49.031',"direct operating or maintenance activities of operational nuclear power plans to ensure that they meet safety standards","nuclear engineers"
'2022-11-06 00:16:49.031',"design equipment to extract oil and gas from onshore and offshore reserves deep underground","petroleum engineers"
'2022-11-06 00:16:49.031',"develop plans to drill in oil and gas fields and then to recover the oil and gas","petroleum engineers"
'2022-11-06 00:16:49.031',"develop ways to inject water chemicals gases or steam into an oil reserve to force out more oil or gas","petroleum engineers"
'2022-11-06 00:16:49.031',"surveying and mapping technicians collect data and make maps of the earths surface","surveying and mapping technicians"
'2022-11-06 00:16:49.031',"surveying technicians visit sites to take measurements of the land","surveying and mapping technicians"
'2022-11-06 00:16:49.031',"mapping technicians use geographic data to create maps","surveying and mapping technicians"
'2022-11-06 00:16:49.031',"surveys make precise measurements to determine property boundaries","surveyors"
'2022-11-06 00:16:49.031',"they provide data relevant to the shape and contour of the earths surface for engineering map making and construction projects","surveyors"
'2022-11-06 00:16:49.031',"determine how best to represent a concept visually","art directors"
'2022-11-06 00:16:49.031',"determine which photographs art or other design elements to use","art directors"
'2022-11-06 00:16:49.031',"develop the overall look or style of a publication an advertising campaign or a theater television or film set","art directors"
'2022-11-06 00:16:49.031',"use techniques such as knitting weaving glassblowing painting drawing and sculpting","craft and fine artists"
'2022-11-06 00:16:49.031',"develop creative ideas or new methods for making art","craft and fine artists"
'2022-11-06 00:16:49.031',"create sketches templates or models to guide their work","craft and fine artists"
'2022-11-06 00:16:49.031',"study fashion trends and anticipate designs that will appeal to consumers","fashion designers"
'2022-11-06 00:16:49.031',"decide on a theme for a collection","fashion designers"
'2022-11-06 00:16:49.031',"use computer aided design programs to create designs","fashion designers"
'2022-11-06 00:16:49.031',"purchase flowers from wholesalers and suppliers to ensure an adequate supply to meet customers needs","floral designers"
'2022-11-06 00:16:49.031',"determine the type of arrangement desired the occasion and the date time and location for delivery","floral designers"
'2022-11-06 00:16:49.031',"meet with clients or the art director to determine the scope of a project","graphic designers"
'2022-11-06 00:16:49.031',"use digital illustration photo editing software and layout software to create designs","graphic designers"
'2022-11-06 00:16:49.031',"create visual elements such as logos original images and illustrations that help deliver a desired message","graphic designers"
'2022-11-06 00:16:49.031',"consult with clients to determine requirements for designs","industrial designers"
'2022-11-06 00:16:49.031',"research the various ways a particular product might be used and who will use it","industrial designers"
'2022-11-06 00:16:49.031',"sketch out ideas or create renderings","industrial designers"
'2022-11-06 00:16:49.031',"search for and bid on new projects","interior designers"
'2022-11-06 00:16:49.031',"determine the clients goals and requirements for the project","interior designers"
'2022-11-06 00:16:49.031',"consider how the space will be used and how people will move through the space","interior designers"
'2022-11-06 00:16:49.031',"use computer programs and illustrations to create graphics and animation","multimedia artists and animators"
'2022-11-06 00:16:49.031',"work with a team of animators and artists to create a movie game or visual effect","multimedia artists and animators"
'2022-11-06 00:16:49.031',"research upcoming projects to help create realistic designs or animations","multimedia artists and animators"
'2022-11-06 00:16:49.031',"mow edge and fertilize lawns","grounds maintenance workers"
'2022-11-06 00:16:49.031',"weed and mulch landscape beds","grounds maintenance workers"
'2022-11-06 00:16:49.031',"trim hedges and shrubs and small trees","grounds maintenance workers"
'2022-11-06 00:16:49.031',"gather and empty trash","janitors and building cleaners"
'2022-11-06 00:16:49.031',"sweep mop or vacuum building floors","janitors and building cleaners"
'2022-11-06 00:16:49.031',"clean restrooms and stock them with supplies","janitors and building cleaners"
'2022-11-06 00:16:49.031',"inspect buildings and premises for signs of pests or infestation","pest control workers"
'2022-11-06 00:16:49.031',"determine the type of treatment needed to eliminate pests","pest control workers"
'2022-11-06 00:16:49.031',"measure the dimensions of the area needing treatment","pest control workers"
'2022-11-06 00:16:49.031',"examine financial statements to ensure that they are accurate and comply with laws and regulations","accountants and auditors"
'2022-11-06 00:16:49.031',"compute taxes owed","accountants and auditors"
'2022-11-06 00:16:49.031',"verify legal descriptions of real estate properties in public records","appraisers and assessors of real estate"
'2022-11-06 00:16:49.031',"inspect new and existing properties noting the characteristics","appraisers and assessors of real estate"
'2022-11-06 00:16:49.031',"work with program and project managers to develop the organizations budget","budget analysts"
'2022-11-06 00:16:49.031',"review managers budget proposals for completeness accuracy and compliance with laws and other regulations","budget analysts"
'2022-11-06 00:16:49.031',"investigate evaluate and settle insurance claims","claims adjusters appraisers examiners and investigators"
'2022-11-06 00:16:49.031',"determine whether the insurance policy covers the loss claimed","claims adjusters appraisers examiners and investigators"
'2022-11-06 00:16:49.031',"decide the appropriate amount the insurance company should pay","claims adjusters appraisers examiners and investigators"
'2022-11-06 00:16:49.031',"research compensation and benefits policies and plans","compensation benefits and job analysis specialists"
'2022-11-06 00:16:49.031',"use data and cost analyses to compare compensation and benefits plans","compensation benefits and job analysis specialists"
'2022-11-06 00:16:49.031',"evaluate position descriptions to determine classification and salary","compensation benefits and job analysis specialists"
'2022-11-06 00:16:49.031',"identify factors affecting costs and such as production time materials and labor","cost estimators"
'2022-11-06 00:16:49.031',"read blueprints and technical documents in order to prepare estimates","cost estimators"
'2022-11-06 00:16:49.031',"collaborate with engineers architects clients and contractors","cost estimators"
'2022-11-06 00:16:49.031',"recommend individual investments and collections of investments which are known as portfolios","financial analysts"
'2022-11-06 00:16:49.031',"evaluate current and historical financial data","financial analysts"
'2022-11-06 00:16:49.031',"study economic and business trends","financial analysts"
'2022-11-06 00:16:49.031',"monitor the financial condition of banks and other financial institutions","financial examiners"
'2022-11-06 00:16:49.031',"review balance sheets operating income and expense accounts and loan documentation to confirm institution assets and liabilities","financial examiners"
'2022-11-06 00:16:49.031',"research propsective donors","fundraisers"
'2022-11-06 00:16:49.031',"create a strong fundraising message that appeals to poitential donors","fundraisers"
'2022-11-06 00:16:49.031',"identify and contact potential donors","fundraisers"
'2022-11-06 00:16:49.031',"use online platforms to raise donations","fundraisers"
'2022-11-06 00:16:49.031',"consult with employers to identify employment needs","human resources specialists"
'2022-11-06 00:16:49.031',"interview applicants about their experience education and skills","human resources specialists"
'2022-11-06 00:16:49.031',"contact references and perform background checks on job applicants","human resources specialists"
'2022-11-06 00:16:49.031',"analyze information stated on insurance applications","insurance underwriters"
'2022-11-06 00:16:49.031',"determine the risk involved in insuring a client","insurance underwriters"
'2022-11-06 00:16:49.031',"screen applicants on the basis of set criteria","insurance underwriters"
'2022-11-06 00:16:49.031',"evaluate recommendations from underwriting software","insurance underwriters"
'2022-11-06 00:16:49.031',"advise management n contracts worker grievances and disciplinary procedures","labor relations specialists"
'2022-11-06 00:16:49.031',"lead meetings between management and labor","labor relations specialists"
'2022-11-06 00:16:49.031',"m eet with union representatitves","labor relations specialists"
'2022-11-06 00:16:49.031',"contact companies or people to ask if they need a loan","loan officers"
'2022-11-06 00:16:49.031',"meet with loan applicants to gather personal information and answer questions","loan officers"
'2022-11-06 00:16:49.031',"explain different types of loans and the terms of each type to applicants","loan officers"
'2022-11-06 00:16:49.031',"obtain verify and analyze the applicants financial information such as credit rating and income level","loan officers"
'2022-11-06 00:16:49.031',"manage a products life cycle from design to disposal","logisticians"
'2022-11-06 00:16:49.031',"direct the allocation of materials and suppliers and clients","logisticians"
'2022-11-06 00:16:49.031',"develop business relationships with suppliers and clients","logisticians"
'2022-11-06 00:16:49.031',"gather and organize information about the problem to be solved or the procedure to be improved","management analysts"
'2022-11-06 00:16:49.031',"interview personnel and conduct onsite observations to determine the methods equipment and personnel that will be needed","management analysts"
'2022-11-06 00:16:49.031',"analyze financial and other data including revenue expenditure and employment reports","management analysts"
'2022-11-06 00:16:49.031',"monitor and forecast marketing and sales trends","market research analysts"
'2022-11-06 00:16:49.031',"measure the effectiveness of marketing programs and strategies","market research analysts"
'2022-11-06 00:16:49.031',"devise and evaluate methods for collecting data such as surveys questionnaires and opinion polls","market research analysts"
'2022-11-06 00:16:49.031',"meet with clients to understand the purpose of the meeting or event","meeting convention and event planner"
'2022-11-06 00:16:49.031',"plan the scope of the event including its time location and cost","meeting convention and event planner"
'2022-11-06 00:16:49.031',"solicit bids from venues and service providers","meeting convention and event planner"
'2022-11-06 00:16:49.031',"meet with clients in person to discuss their financial goals","personal financial advisors"
'2022-11-06 00:16:49.031',"explain the types of financial services they provide to potential clients","personal financial advisors"
'2022-11-06 00:16:49.031',"educate clients and answer questions about investment options and potential risks","personal financial advisors"
'2022-11-06 00:16:49.031',"evaluate suppliers on the bass of the price quality and speed of delivery of their products and services","purchasing managers buyers and purchasing agents"
'2022-11-06 00:16:49.031',"interview vendors and visit suppliers plants and distribution centers to examine and learn about products and services and prices","purchasing managers buyers and purchasing agents"
'2022-11-06 00:16:49.031',"test and evaluate existing network systems","computer support specialists"
'2022-11-06 00:16:49.031',"perform regular maintenance to ensure that networks operate correctly","computer support specialists"
'2022-11-06 00:16:49.031',"troubleshoot local area networks wide area networks and internet systems","computer support specialists"
'2022-11-06 00:16:49.031',"review filed tax returns to determine whether credits and deductions claimed are allowed by law","tax examiners and collectors and revenue agents"
'2022-11-06 00:16:49.031',"contact taxpayers to address problems and to request supporting documentation","tax examiners and collectors and revenue agents"
'2022-11-06 00:16:49.031',"conduct field audits and investigations of income tax returns to verify information or to update tax liabilities","tax examiners and collectors and revenue agents"
'2022-11-06 00:16:49.031',"assess training needs through surveys interviews with employees or consultations with managers or instructors","training and development specialists"
'2022-11-06 00:16:49.031',"design and create training manuals online learning modules and course materials","training and development specialists"
'2022-11-06 00:16:49.031',"assess the health needs of the people and communities they serve","health educators and community health workers"
'2022-11-06 00:16:49.031',"develop programs materials and events to teach people about health topics","health educators and community health workers"
'2022-11-06 00:16:49.031',"teach people how to manage existing health conditions","health educators and community health workers"
'2022-11-06 00:16:49.031',"encourage clients to discuss their emotions and experiences","marriage and family therapists"
'2022-11-06 00:16:49.031',"help clients process their reacts and adjust to difficult changes in their life such as divorce and layoffs","marriage and family therapists"
'2022-11-06 00:16:49.031',"guide clients through the process of making decisions about their future","marriage and family therapists"
'2022-11-06 00:16:49.031',"interview with probationers and parolees their friends and relatives in an office or at a residence to assess progress","probation officers and correctional treatment specialists"
'2022-11-06 00:16:49.031',"evaluate probationers and parolees to determine the best course of action","probation officers and correctional treatment specialists"
'2022-11-06 00:16:49.031',"provide individual and group counseling to help clients adjust to their disability","rehabilitation counselors"
'2022-11-06 00:16:49.031',"evaluate clients abilities interests experiences and skills health and education","rehabilitation counselors"
'2022-11-06 00:16:49.031',"evaluate students abilities and interests through aptitude assessments interviews and individual planning","school and career counselors"
'2022-11-06 00:16:49.031',"identify issues that affect school performance such as poor classroom attendance rates","school and career counselors"
'2022-11-06 00:16:49.031',"help students understand and overcome social or behavioral problems through classroom guidance lessons and counseling","school and career counselors"
'2022-11-06 00:16:49.031',"meet with clients or management to discuss the needs and design of a website","web developers"
'2022-11-06 00:16:49.031',"create and test applications for a website","web developers"
'2022-11-06 00:16:49.031',"write code for the website using programming languages","web developers"
'2022-11-06 00:16:49.031',"help determine what type of aid their clients need","social and human service assistants"
'2022-11-06 00:16:49.031',"work with clients and other professionals such as social workers to develop a treatment plan","social and human service assistants"
'2022-11-06 00:16:49.031',"help clients find assistance with daily activities such as eating and bathing","social and human service assistants"
'2022-11-06 00:16:49.031',"identify people and communities in need of help","social workers"
'2022-11-06 00:16:49.031',"assess clients needs and situations and strengths and support networks to determine their goals","social workers"
'2022-11-06 00:16:49.031',"help clients adjust to changes and challenges in their lives and such as illness divorce or unemployment","social workers"
'2022-11-06 00:16:49.031',"evaluate clients mental and physical health addiction or problematic behavior and assess their readiness for treatment","substance abuse behavioral disorder and mental health counselors"
'2022-11-06 00:16:49.031',"develop recommend and review treatment goals and plans with clients","substance abuse behavioral disorder and mental health counselors"
'2022-11-06 00:16:49.031',"assist clients in developing skills and behaviors necessary to recover from their addiction or modify their behavior","substance abuse behavioral disorder and mental health counselors"
'2022-11-06 00:16:49.031',"explore fundamental issues in computer and developing theories and models to address those issues","computer and information research scientists"
'2022-11-06 00:16:49.031',"help scientists and engineers solve complex computing problems","computer and information research scientists"
'2022-11-06 00:16:49.031',"invent new computing languages tools and methods to improve the way in which people work with computers","computer and information research scientists"
'2022-11-06 00:16:49.031',"create plans and layouts for data communication networks","computer network architects"
'2022-11-06 00:16:49.031',"present plans to management and explain why they are in the organizations best interest to pursue them","computer network architects"
'2022-11-06 00:16:49.031',"consider information security when designing networks","computer network architects"
'2022-11-06 00:16:49.031',"write programs in a variety of computer languages","computer programmers"
'2022-11-06 00:16:49.031',"update and expand existing programs","computer programmers"
'2022-11-06 00:16:49.031',"test programs for errors and fix the faulty lines of computer code","computer programmers"
'2022-11-06 00:16:49.031',"follow blueprints and specifications","glaziers"
'2022-11-06 00:16:49.031',"remove any old or broken glass before installing replacement glass","glaziers"
'2022-11-06 00:16:49.031',"cut glass to the specified size and shape","glaziers"
'2022-11-06 00:16:49.031',"consult with managers to determine the role of it systems in an organization","computer systems analysts"
'2022-11-06 00:16:49.031',"research emerging technologies to decide if installing them can increase the organizations efficiency and effectiveness","computer systems analysts"
'2022-11-06 00:16:49.031',"prepare an analysis of costs and benefits so that management can decide if it systems and computing infrastructure upgrades are financially worthwhile","computer systems analysts"
'2022-11-06 00:16:49.031',"ensure that organizational data are secure","database administrators"
'2022-11-06 00:16:49.031',"backup and restore data to prevent data loss","database administrators"
'2022-11-06 00:16:49.031',"identify users needs to create and administer databases","database administrators"
'2022-11-06 00:16:49.031',"monitor their organizations networks for security breaches and investigate a violation when one occurs","information security analysts"
'2022-11-06 00:16:49.031',"install and use software such as firewalls and data encryption programs to protect sensitive information","information security analysts"
'2022-11-06 00:16:49.031',"prepare reports that document security breaches and the extent of the damage caused by the breaches","information security analysts"
'2022-11-06 00:16:49.031',"cover floors furniture and trim with drop cloths tarps and masking tape to protect surfaces","painters construction and maintenance"
'2022-11-06 00:16:49.031',"remove and replace pictures and outlet and switch covers","painters construction and maintenance"
'2022-11-06 00:16:49.031',"install scaffolding and raise ladders","painters construction and maintenance"
'2022-11-06 00:16:49.031',"fill holes and cracks with putty or plaster","painters construction and maintenance"
'2022-11-06 00:16:49.031',"determine an organizations system needs and install network hardware and software","network and computer systems administrators"
'2022-11-06 00:16:49.031',"make needed upgrades and repairs to networks and ensure that systems are operating correctly","network and computer systems administrators"
'2022-11-06 00:16:49.031',"maintain network and computer system security","network and computer systems administrators"
'2022-11-06 00:16:49.031',"analyze users needs and then design test and develop software to meet those needs","software developers"
'2022-11-06 00:16:49.031',"recommend software upgrades for customers existing programs and systems","software developers"
'2022-11-06 00:16:49.031',"design each piece of an application or system and plan how the pieces will work together","software developers"
'2022-11-06 00:16:49.031',"read blueprints to determine locations positions and dimensions of boiler parts","boilermakers"
'2022-11-06 00:16:49.031',"install small premade boilers in buildings and manufacturing facilities","boilermakers"
'2022-11-06 00:16:49.031',"layout prefabricated parts of larger boilers before assembling them","boilermakers"
'2022-11-06 00:16:49.031',"follow blueprints and building plans to meet the needs of clients","carpenters"
'2022-11-06 00:16:49.031',"install structures and fixtures such as windows and molding","carpenters"
'2022-11-06 00:16:49.031',"measure,cut and shape wood plastic and other materials","carpenters"
'2022-11-06 00:16:49.031',"review plans to ensure they meet building codes local ordinances zoning regulations and contract specifications","construction and building inspectors"
'2022-11-06 00:16:49.031',"approve building plans that are satisfactory","construction and building inspectors"
'2022-11-06 00:16:49.031',"monitor construction sites periodically to ensure overall compliance","construction and building inspectors"
'2022-11-06 00:16:49.031',"clean and maintain equipment making basic repairs as necessary","construction equipment operators"
'2022-11-06 00:16:49.031',"report malfunctioning equipment to supervisors","construction equipment operators"
'2022-11-06 00:16:49.031',"move levers push pedals or turn valves to control equipment","construction equipment operators"
'2022-11-06 00:16:49.031',"clean and prepare construction sites by removing debris and possible hazards load or unload building materials to be used in construction build or take apart bracing scaffolding and temporary structures","construction laborers and helpers"
'2022-11-06 00:16:49.031',"measure mark and cut panels according to design plans by using tape measures and straightedges utility knives and power saws","drywall and ceiling tile installers and tapers"
'2022-11-06 00:16:49.031',"fasten panels and tiles by using glue nails or screws","drywall and ceiling tile installers and tapers"
'2022-11-06 00:16:49.031',"patch trim and smooth rough spots and edges","drywall and ceiling tile installers and tapers"
'2022-11-06 00:16:49.031',"read blueprints or technical diagrams","electricians"
'2022-11-06 00:16:49.031',"install and maintain wiring control and lighting systems","electricians"
'2022-11-06 00:16:49.031',"inspect electrical components such as transformers and circuit breakers","electricians"
'2022-11-06 00:16:49.031',"read and interpret blueprints to determine the layout of system components and to select the equipment needed for installation or repair","elevator installers and repairers"
'2022-11-06 00:16:49.031',"assemble elevator cars installing each cars platform walls and doors","elevator installers and repairers"
'2022-11-06 00:16:49.031',"connect electrical wiring to control panels and electric motors","elevator installers and repairers"
'2022-11-06 00:16:49.031',"remove existing flooring or wall covering","flooring installers and tile and marble setters"
'2022-11-06 00:16:49.031',"clean and level the surface to be covered","flooring installers and tile and marble setters"
'2022-11-06 00:16:49.031',"measure the area and cut flooring material to fit","flooring installers and tile and marble setters"
'2022-11-06 00:16:49.031',"follow safety procedures before during and after cleanup","hazardous materials remove workers"
'2022-11-06 00:16:49.031',"comply with state and federal laws regarding waste disposal","hazardous materials remove workers"
'2022-11-06 00:16:49.031',"test hazardous materials to determine the proper way to clean up","hazardous materials remove workers"
'2022-11-06 00:16:49.031',"remove and dispose of old insulation","insulation workers"
'2022-11-06 00:16:49.031',"review blueprints and specifications to determine the amount and type of insulation needed","insulation workers"
'2022-11-06 00:16:49.031',"read and follow blueprints and sketches and other instructions","ironworkers"
'2022-11-06 00:16:49.031',"unload and stack prefabricated iron and steel so that it can be lifted with slings","ironworkers"
'2022-11-06 00:16:49.031',"signal crane operators who lift and position structural and reinforcing iron and steel","ironworkers"
'2022-11-06 00:16:49.031',"read blueprints or drawings to calculate materials needed","masonry workers"
'2022-11-06 00:16:49.031',"layout patterns forms or foundations according to plans","masonry workers"
'2022-11-06 00:16:49.031',"break or cut materials to required size","masonry workers"
'2022-11-06 00:16:49.031',"prepare cost estimates for clients","plumbers pipefitters and steamfitters"
'2022-11-06 00:16:49.031',"read blueprints and follow state and local building codes","plumbers pipefitters and steamfitters"
'2022-11-06 00:16:49.031',"determine the material and equipment needed for a job","plumbers pipefitters and steamfitters"
'2022-11-06 00:16:49.031',"install pipes and fixtures","plumbers pipefitters and steamfitters"
'2022-11-06 00:16:49.031',"inspect problem roofs to determine the best way to repair them","roofers"
'2022-11-06 00:16:49.031',"measure roofs to calculate the quantities of materials needed","roofers"
'2022-11-06 00:16:49.031',"replace damaged or rotting joists or plywood","roofers"
'2022-11-06 00:16:49.031',"install vapor barriers or layers of insulation","roofers"
'2022-11-06 00:16:49.031',"install ventilation systems","roofers"
'2022-11-06 00:16:49.031',"install shingles","roofers"
'2022-11-06 00:16:49.031',"asphalt metal or other materials to make the roof weatherproof","roofers"
'2022-11-06 00:16:49.031',"select types of sheet metal according to plans","sheet metal workers"
'2022-11-06 00:16:49.031',"measure and mark dimensions and reference lines on metal sheets","sheet metal workers"
'2022-11-06 00:16:49.031',"drill holes in metal for screws bolts and rivets","sheet metal workers"
'2022-11-06 00:16:49.031',"install metal sheets with supportive frameworks","sheet metal workers"
'2022-11-06 00:16:49.031',"plan pv system configurations based on customer needs and site conditions","solar photovoltaic installers"
'2022-11-06 00:16:49.031',"measure cut and assemble the support structure for solar pv panels","solar photovoltaic installers"
'2022-11-06 00:16:49.031',"install solar modules and panels and support structures in according with building codes and standards","solar photovoltaic installers"
'2022-11-06 00:16:49.031',"connect pv panels to the electrical system","solar photovoltaic installers"
'2022-11-06 00:16:49.031',"apply weather sealant to equipment being installed","solar photovoltaic installers"
'2022-11-06 00:16:49.031',"plan and teach lessons to help students gain the knowledge and skills needed to earn their high school equivalent diploma","adult literacy and high school equivalency diploma teachers"
'2022-11-06 00:16:49.031',"adapt teaching methods based on students strengths and weaknesses","adult literacy and high school equivalency diploma teachers"
'2022-11-06 00:16:49.031',"emphasize skills that will help students find jobs and such as learning english words and common phrases used in the workplace","adult literacy and high school equivalency diploma teachers"
'2022-11-06 00:16:49.031',"assess students for possible learning disabilities","adult literacy and high school equivalency diploma teachers"
'2022-11-06 00:16:49.031',"monitor students progress","adult literacy and high school equivalency diploma teachers"
'2022-11-06 00:16:49.031',"help students develop study skills","adult literacy and high school equivalency diploma teachers"
'2022-11-06 00:16:49.031',"connect students to other resources in their communities","adult literacy and high school equivalency diploma teachers"
'2022-11-06 00:16:49.031',"authenticate and appraise historical documents and archival materials","archivists curators and museum workers"
'2022-11-06 00:16:49.031',"preserve and maintain documents and objects","archivists curators and museum workers"
'2022-11-06 00:16:49.031',"create and manage a system to maintain and preserve electronic records","archivists curators and museum workers"
'2022-11-06 00:16:49.031',"organize and classify archival records to make them easy to search through","archivists curators and museum workers"
'2022-11-06 00:16:49.031',"create lesson plans and assignments","career and technical education teachers"
'2022-11-06 00:16:49.031',"instruct students on how to develop certain skills","career and technical education teachers"
'2022-11-06 00:16:49.031',"show how to apply classroom knowledge through hands on activities","career and technical education teachers"
'2022-11-06 00:16:49.031',"plan lessons in the subjects they teach such as science or history","high school teachers"
